sample_idx,split,source_idx,rank_delta_maze_minus_cluttr,wall_count,manhattan,branch_points,dead_ends,cluttr_norm,maze_norm,cluttr_pc1,cluttr_pc2,maze_pc1,maze_pc2
9969,train,94239,17677.0,40.0,12.0,87.0,11.0,4.850099075091364,9.633079808497067,0.41361225906180166,0.24391430661051927,-1.1386265376341405,1.9364585439303
2978,train,23685,17609.0,43.0,6.0,76.0,13.0,4.575365468920794,9.468907867528433,-0.5593712467819207,0.9064073805025391,-0.09587661529822968,-1.449639253892012
1594,train,167979,17580.0,35.0,9.0,94.0,4.0,4.688726031498266,9.530461172842278,-0.6601360107045583,-0.27414490133358393,-0.43933871372245004,-1.4315727710052102
16998,val,12510,17512.0,26.0,5.0,116.0,5.0,4.473158532187523,9.33635942808997,-0.00086831893672017,1.0919819667690864,-0.7717431580315934,-1.4079550795453348
6737,train,78498,17455.0,46.0,13.0,71.0,17.0,3.9541585221095166,9.291997337195275,0.2660624021639793,0.19390699764348174,-0.52478290057679,0.2585825287798983
14232,train,32389,17412.0,18.0,2.0,128.0,2.0,4.7189850991036755,9.387852105313959,-0.10991383103003824,-0.6861709523191973,0.8510472845452587,0.33963428329376505
17039,val,14879,17396.0,34.0,3.0,95.0,8.0,4.9731146609439625,9.75959436057386,-0.11564133923042913,-0.39256886648503203,-2.4248060255843282,1.4148351329633913
8010,train,142422,17394.0,15.0,17.0,132.0,2.0,4.76798499372297,9.45451581557887,-1.1003078764511132,-0.6109770580871371,-1.8692307798411092,-1.0933495842948122
6699,train,47816,17373.0,35.0,1.0,102.0,5.0,4.55975461767461,9.854855216968213,-0.29057083329456257,-0.2603438041956403,-0.4753038938940037,-0.13524736281587274
3651,train,83028,17278.0,6.0,4.0,157.0,1.0,4.660499190073618,9.375006037193694,-0.1544888848915347,0.30407807755526434,0.30520344381411035,-0.2695481074538858
6667,train,67916,-17630.0,11.0,6.0,146.0,0.0,7.087782839268257,6.3291189662375,0.3906941413232574,-1.8400229392556917,-1.2089680456304812,1.0235535521266923
2179,train,144772,-17625.0,1.0,10.0,164.0,0.0,6.9790371733674235,5.714530998943303,2.8007623420143433,0.436730934171203,-0.5815323064244756,0.8056435603709144
6847,train,173921,-17456.0,13.0,8.0,141.0,1.0,6.837892620862738,6.389717464095439,1.5780816657739194,-1.5684738477859241,1.346599788082052,0.26623893586448943
13261,train,112828,-17448.0,2.0,9.0,161.0,0.0,6.99797331525095,6.440881897889881,0.23344980874378554,1.382321035557016,-0.2674022873391981,1.2568970456157198
5756,train,198501,-17353.0,6.0,6.0,154.0,0.0,6.8315798052192385,6.095108262863012,1.9978612753094174,-0.9440341120762115,0.672759487449438,-0.27202615809281755
3702,train,177827,-17317.0,9.0,17.0,148.0,0.0,6.886458230820509,6.444575799610692,-0.3887158278316081,-1.630783350079576,-0.5338501894936112,1.323955269855352
5595,train,69346,-17281.0,35.0,4.0,92.0,5.0,6.862438882641935,6.5227505092428295,1.4393075794968833,0.5046979475218988,-0.4223590568989326,-0.8432919997996298
9435,train,3179,-17259.0,29.0,10.0,112.0,7.0,7.409980490370621,6.708997804693592,-1.551115297299566,-2.222878989574698,0.6085308346689815,0.7769861348488503
15476,val,5447,-17240.0,0.0,1.0,165.0,0.0,6.6893290924103015,6.219545599983853,1.5053161698953073,0.5317496178172922,0.09626557092999151,-0.31653773608597147
13636,train,48800,-17239.0,22.0,4.0,126.0,2.0,6.648861113908944,5.995492168011514,1.0426000703810399,-1.9532437718733413,-0.034734685777191666,-0.19000675279762727
